,ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
443,102,Stony Island Ave & 67th St,Stony Island Ave & 67th St,11,11,In Service,41.773458499,-87.585339739,"(41.77345849948, -87.5853397391)"
444,419,Lake Park Ave & 53rd St,Lake Park Ave & 53rd St,15,15,In Service,41.799494294,-87.586449896,"(41.79949429373, -87.5864498959)"
445,447,Glenwood Ave & Morse Ave,NA5,15,13,In Service,42.007971923,-87.665502394,"(42.00797192287, -87.6655023944)"
446,111,Sedgwick St & Huron St,Sedgwick St & Huron St,27,27,In Service,41.894666,-87.638437,"(41.894666, -87.638437)"
447,343,Racine Ave & Wrightwood Ave,Racine Ave & Wrightwood Ave,15,13,In Service,41.928887,-87.658971,"(41.928887, -87.658971)"
448,66,Clinton St & Lake St,Clinton St & Lake St,23,22,In Service,41.885637,-87.641823,"(41.885637, -87.641823)"
449,503,Drake Ave & Fullerton Ave,Drake Ave & Fullerton Ave,15,14,In Service,41.924398819,-87.715441036,"(41.924398819, -87.7154410355)"
450,506,Spaulding Ave & Armitage Ave,Spaulding Ave & Armitage Ave,15,15,In Service,41.917183752,-87.710356652,"(41.91718375155, -87.7103566522)"
451,425,Harper Ave & 59th St,Harper Ave & 59th St,15,14,In Service,41.787942813,-87.58831517,"(41.78794281287, -87.5883151702)"
452,232,Pine Grove Ave & Waveland Ave,Pine Grove Ave & Waveland Ave,23,23,In Service,41.949275,-87.646303,"(41.949275, -87.646303)"
453,300,Broadway & Barry Ave,Broadway & Barry Ave,19,17,In Service,41.937725,-87.644095,"(41.937725, -87.644095)"
454,289,Wells St & Concord Ln,Wells St & Concord Ln,19,19,In Service,41.912133,-87.634656,"(41.912133, -87.634656)"
455,284,Michigan Ave & Jackson Blvd,Michigan Ave & Jackson Blvd,23,23,In Service,41.87785,-87.62408,"(41.87785, -87.62408)"
456,50,Clark St & Congress Pkwy,Clark St & Congress Pkwy,35,34,In Service,41.875932666,-87.630584536,"(41.8759326655, -87.6305845355)"
457,478,Rockwell St & Eastwood Ave,Rockwell St & Eastwood Ave,15,15,In Service,41.96590014,-87.693638494,"(41.96590013976, -87.6936384935)"
458,16,Paulina Ave & North Ave,1575 N Paulina Ave,15,15,In Service,41.910337,-87.670072,"(41.910337, -87.670072)"
459,138,Clybourn Ave & Division St,Clybourn Ave & Division St,15,15,In Service,41.904613,-87.640552,"(41.904613, -87.640552)"
460,209,Normal Ave & Archer Ave,Normal Ave & Archer Ave,11,9,In Service,41.849527,-87.640591,"(41.849527, -87.640591)"
461,176,Clark St & Elm St,Clark St & Elm St,38,38,In Service,41.902973,-87.63128,"(41.902973, -87.63128)"
462,179,MLK Jr Dr & Pershing Rd,Off Steet,15,14,In Service,41.8246,-87.61678,"(41.8246, -87.61678)"
463,141,Clark St & Lincoln Ave,Clark St & Lincoln Ave,23,22,In Service,41.915689,-87.6346,"(41.915689, -87.6346)"
464,173,Mies van der Rohe Way & Chicago Ave,Mies van der Rohe Way & Chicago Ave,15,14,In Service,41.89691,-87.621743,"(41.89691, -87.621743)"
