,SYSTEMSTOP,OBJECTID,the_geom,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,Longitude,Latitude
8997,15297,8654,POINT (-87.75037729600001 41.894871298),CHICAGO,LAVERGNE,EB,FS,66,,CHICAGO,1,Chicago & Lavergne,-87.7503773,41.8948713
8998,3451,8655,POINT (-87.59162263399998 41.78048242400001),63RD STREET,DORCHESTER,EB,NS,63,N63,CHICAGO,1,63rd Street & Dorchester,-87.59162263,41.78048242
8999,15963,8656,POINT (-87.68830926499999 41.77911730300002),63RD STREET,ROCKWELL,EB,FS,63,N63,CHICAGO,1,63rd Street & Rockwell,-87.68830927,41.7791173
9000,428,8657,POINT (-87.67685 41.88126199999999),MADISON,DAMEN,EB,NS,20,N20,CHICAGO,1,Madison & Damen,-87.67685,41.881262
9001,1799,8658,POINT (-87.66944961399997 41.98604146299999),CLARK,EDGEWATER,SB,NS,22,N22,CHICAGO,1,Clark & Edgewater,-87.66944961,41.98604146
9002,8566,8659,POINT (-87.83683699900001 41.97381999999999),CUMBERLAND,FOSTER,SB,NS,81W,,NORRIDGE,1,Cumberland & Foster,-87.836837,41.97382
9003,11865,8660,POINT (-87.69968599999999 42.017585999999994),CALIFORNIA,BIRCHWOOD,SB,NS,93,,CHICAGO,1,California & Birchwood,-87.699686,42.017586
9004,1418,8661,POINT (-87.63290599999999 41.89900100099999),LASALLE,DELAWARE,SB,FT,156,,CHICAGO,1,LaSalle & Delaware,-87.632906,41.899001
9005,8767,8662,POINT (-87.67463700100001 41.805002),DAMEN,49TH STREET,SB,NS,48,,CHICAGO,1,Damen & 49th Street,-87.674637,41.805002
9006,14919,9610,POINT (-87.64786530399999 41.93660112499998),CLARK,WELLINGTON,NB,FS,22,N22,CHICAGO,1,Clark & Wellington,-87.6478653,41.93660113
9007,2300,9611,POINT (-87.62518604600001 41.780346855000005),STATE,63RD STREET,NB,FS,29,,CHICAGO,1,State & 63rd Street,-87.62518605,41.78034686
9008,8353,9612,POINT (-87.68514300099997 41.83909600099997),WESTERN,31ST STREET,NB,FT,49,N49,CHICAGO,1,Western & 31st Street,-87.685143,41.839096
9009,1119,9613,POINT (-87.62431754699998 41.884687939),MICHIGAN,RANDOLPH,NB,FS,"3,6,19,20,26,N66,124,143,151,147,157",N66,CHICAGO,1,Michigan & Randolph,-87.62431755,41.88468794
9010,1670,9614,POINT (-87.68932833999997 41.983441830000004),WESTERN,BRYN MAWR,NB,FT,49B,,CHICAGO,1,Western & Bryn Mawr,-87.68932834,41.98344183
9011,2345,9615,POINT (-87.62702000000002 41.855343000000005),STATE,CULLERTON,NB,NS,29,,CHICAGO,1,State & Cullerton,-87.62702,41.855343
9012,8898,9616,POINT (-87.67606999899999 41.863264000000015),DAMEN,14TH STREET,NB,FS,50,,CHICAGO,1,Damen & 14th Street,-87.67607,41.863264
9013,1905,9617,POINT (-87.634187381 41.91553013999999),CLARK,LINCOLN,NB,NT,"22,36,73",N22,CHICAGO,1,Clark & Lincoln,-87.63418738,41.91553014
9014,15472,9618,POINT (-87.65891288699999 41.699225633000026),VINCENNES,107TH STREET,SB,FS,112,,CHICAGO,1,Vincennes & 107th Street,-87.65891289,41.69922563
9015,7546,9619,POINT (-87.62108452899997 41.68907079899998),MICHIGAN,113TH STREET,SB,NS,"34,119",N34,CHICAGO,1,Michigan & 113th Street,-87.62108453,41.6890708
9016,8816,9620,POINT (-87.67936500000002 41.97246999999999),DAMEN,ARGYLE,SB,NS,50,,CHICAGO,1,Damen & Argyle,-87.679365,41.97247
