,Indicator,Latitude,Longitude
1024,parking,41.88541994,-87.63590748
1025,pub,41.88486594,-87.63570164
1026,place_of_worship,41.8794503833,-87.6444224667
1027,parking,41.8799887357,-87.6433301357
1028,parking,41.88133324,-87.64474919
1029,parking,41.87651942,-87.63579694
1030,parking,41.87490646,-87.63335558
1031,parking,41.87349004,-87.6329111
1032,parking,41.8753618,-87.63336432
1033,parking,41.8742589,-87.63102568
1034,parking,41.8735401286,-87.6314582
1035,parking,41.87311162,-87.62840614
1036,parking,41.7983084818,-87.6059564727
1037,parking,41.7961212679,-87.6052331357
1038,parking,41.8750226667,-87.6327427333
1039,fuel,41.8693794,-87.64401902
1040,fuel,41.8685191,-87.6419429
1041,fuel,41.8688212444,-87.6418045333
1042,bank,41.8668615095,-87.6403593333
1043,parking,41.8705948111,-87.6462724444
1044,pharmacy,41.866575,-87.6396392636
1045,bank,41.8675003333,-87.64038438
1046,parking,41.866964,-87.6397029727
1047,parking,41.8715006615,-87.6463277692
1048,parking,41.8676334333,-87.64008815
1049,parking,41.8679212,-87.6431476143
1050,parking,41.86814945,-87.6430194625
1051,pharmacy,41.8798147889,-87.6468779778
1052,parking,41.8798476967,-87.64673422
1053,parking,41.8761919,-87.6491673
1054,parking,41.87938546,-87.65117322
1055,fast_food,41.87911814,-87.64281644
1056,parking,41.87650012,-87.64924264
1057,parking,41.87735558,-87.6513982
1058,parking,41.8789126889,-87.6480222
1059,parking,41.87843,-87.6502149545
1060,fuel,41.80136484,-87.58800934
1061,parking,41.8747184,-87.6283732
1062,bar,41.87296826,-87.62650026
1063,parking,41.8887574769,-87.6405571462
1064,parking,41.9043556737,-87.6397384947
1065,parking,41.8893889417,-87.6422246167
1066,parking,42.0269075143,-87.6769289286
1067,parking,41.9534056857,-87.7247998286
1068,parking,41.9420451727,-87.6889305364
1069,parking,41.9435690818,-87.6887774364
1070,grave_yard,41.9529543333,-87.6601968667
1071,parking,41.87500205,-87.6405474625
1072,parking,41.8739897429,-87.6405544857
1073,parking,41.8005134846,-87.5852035154
1074,parking,41.8007128364,-87.5878201061
1075,parking,41.7999212222,-87.5851629333
1076,parking,41.8001483278,-87.5853285167
1077,library,41.86926738,-87.6544585
1078,parking,41.8692607462,-87.6538527077
1079,restaurant,41.8692836714,-87.6540027857
1080,parking,41.8018045235,-87.5901886
1081,parking,41.8021654571,-87.5910999857
1082,library,41.80577636,-87.5903110167
1083,ice_cream,41.8748204895,-87.6186204737
1084,toilets,41.8748151895,-87.6192222684
1085,parking,41.87085544,-87.62545768
1086,parking,41.871611,-87.6254242
1087,cinema,41.799791925,-87.5895675
1088,parking,41.9303036,-87.71037124
1089,place_of_worship,41.7885072077,-87.5969728115
1090,parking,41.93672515,-87.6527674875
1091,parking,41.9361058,-87.6526988
1092,parking,41.9287726778,-87.7078287778
1093,parking,41.8679490833,-87.62535805
1094,theatre,41.8695298167,-87.62514
1095,parking,41.8724976,-87.62648678
1096,parking,41.87321446,-87.63033536
1097,fire_station,41.87716352,-87.64433104
1098,parking,41.8771313375,-87.6420810875
1099,restaurant,41.8778484333,-87.6421133167
1100,parking,41.8381008875,-87.616161225
1101,place_of_worship,41.8381534312,-87.61669775
1102,school,41.87484404,-87.660955
1103,place_of_worship,41.7886934125,-87.600411975
1104,parking,41.8749189,-87.6550638786
1105,parking,41.8747688333,-87.6541397
1106,fuel,41.9605054,-87.78655148
1107,fuel,41.96019472,-87.77667366
1108,school,41.9596191731,-87.7914684462
1109,place_of_worship,41.9591249786,-87.7914762179
1110,fuel,41.96026474,-87.79306878
1111,fast_food,41.9604953385,-87.7875218462
1112,pub,41.9604472,-87.78832306
1113,pharmacy,41.9599949077,-87.7669431615
1114,parking,41.9594009765,-87.7943062941
1115,parking,41.96048706,-87.78819038
1116,parking,41.96060844,-87.78142572
1117,parking,41.95715516,-87.7885535
1118,parking,41.95902886,-87.7907398
1119,parking,41.9569018857,-87.7874060571
1120,parking,41.9571798571,-87.7881345143
1121,parking,41.9603012625,-87.76696445
1122,parking,41.9570268625,-87.789322025
1123,parking,41.9589083615,-87.7926535538
1124,parking,41.9598405222,-87.7930426333
1125,parking,41.9561483222,-87.7873873778
1126,parking,41.9596353909,-87.7826420182
1127,parking,41.96050079,-87.78751054
1128,fast_food,41.9532345143,-87.7868626857
1129,car_wash,41.9533457643,-87.7897072071
1130,parking,41.9536376381,-87.787627519
1131,parking,41.95487494,-87.78862262
1132,parking,41.9532055,-87.78508372
1133,parking,41.95529236,-87.7882434
1134,parking,41.95490556,-87.7869434
1135,parking,41.9552887833,-87.7886359
