,Latitude,Longitude,Type
259,41.879356359,-87.629791036,Divvy
260,41.867324,-87.648625,Divvy
261,41.839208684,-87.665609859,Divvy
262,41.930585371,-87.723777364,Divvy
263,41.856802,-87.633879,Divvy
264,42.008594397,-87.690492239,Divvy
265,41.963004,-87.684781,Divvy
266,41.938428791,-87.698007756,Divvy
267,41.794228,-87.655073,Divvy
268,41.786833,-87.666215,Divvy
269,41.965875,-87.700825,Divvy
270,41.961108016,-87.728970101,Divvy
271,41.794087,-87.675478,Divvy
272,41.783189,-87.654372,Divvy
273,41.974911297,-87.692502559,Divvy
274,41.842052,-87.617,Divvy
275,41.841517708,-87.685131441,Divvy
276,41.792822,-87.664429,Divvy
277,41.870257,-87.639474,Divvy
278,41.854204313,-87.715405838,Divvy
279,41.918084,-87.643749,Divvy
280,41.844566849,-87.715910308,Divvy
281,41.854184249,-87.619153741,Divvy
282,41.795212,-87.580715,Divvy
283,41.952833,-87.649993,Divvy
284,41.968812,-87.657659,Divvy
285,41.848190945,-87.705413746,Divvy
286,41.844040031,-87.695295923,Divvy
287,41.827059,-87.64572,Divvy
288,41.885502,-87.716866,Divvy
289,41.871737,-87.65103,Divvy
290,41.953393,-87.732002,Divvy
291,41.80887,-87.66454,Divvy
292,41.943034,-87.687288,Divvy
293,41.953586179,-87.7093108,Divvy
294,41.939743,-87.658865,Divvy
295,41.973815,-87.65966,Divvy
296,41.919936,-87.64883,Divvy
297,41.884069,-87.656853,Divvy
298,41.78602,-87.674167,Divvy
299,41.787539,-87.644874,Divvy
300,41.823192,-87.676597,Divvy
301,41.774074,-87.663815,Divvy
302,41.899643,-87.6677,Divvy
303,41.910578035,-87.649421929,Divvy
304,41.920771,-87.663712,Divvy
305,42.052939,-87.673447,Divvy
306,41.869154,-87.671045,Divvy
307,41.93132,-87.638742,Divvy
308,41.872187,-87.661501,Divvy
309,42.063598,-87.69873,Divvy
310,41.913865,-87.648755,Divvy
311,41.750794,-87.624424,Divvy
312,42.048308,-87.698224,Divvy
313,42.025784,-87.684107,Divvy
314,42.039742,-87.699413,Divvy
315,41.888243,-87.63639,Divvy
316,41.883668,-87.64867,Divvy
317,41.853005,-87.630578,Divvy
318,42.012342,-87.688243,Divvy
319,42.015962,-87.66857,Divvy
320,41.909668,-87.648128,Divvy
321,42.018901,-87.690048,Divvy
322,42.015963,-87.675005,Divvy
323,41.775393,-87.654308,Divvy
324,42.012701,-87.666058,Divvy
325,41.800908,-87.674684,Divvy
326,41.751345,-87.612568,Divvy
327,42.064313,-87.686152,Divvy
328,41.788746,-87.601334,Divvy
329,42.019537,-87.669563,Divvy
330,41.874748851,-87.686445276,Divvy
331,42.009074,-87.67419,Divvy
332,41.901315,-87.677409,Divvy
333,41.894503,-87.617854,Divvy
334,41.858166,-87.656495,Divvy
335,41.84358,-87.645368,Divvy
336,41.958494,-87.654966,Divvy
337,41.94367,-87.64895,Divvy
338,41.961588,-87.666036,Divvy
339,41.940775,-87.639192,Divvy
340,41.886875,-87.62603,Divvy
341,41.93314,-87.64776,Divvy
342,41.961507,-87.671387,Divvy
343,41.857499,-87.646277,Divvy
344,41.954177,-87.664358,Divvy
345,41.803038,-87.606615,Divvy
346,41.968885,-87.684001,Divvy
347,42.004450629,-87.672402405,Divvy
348,41.975632725,-87.701419439,Divvy
349,41.929546,-87.643118,Divvy
350,41.91552,-87.687022,Divvy
351,41.96909,-87.674237,Divvy
352,41.88283,-87.661206,Divvy
353,41.886020828,-87.630876058,Divvy
354,41.879472352,-87.625688606,Divvy
355,42.010586563,-87.662412095,Divvy
356,41.877945,-87.662007,Divvy
357,41.791478,-87.599861,Divvy
358,41.903119,-87.673935,Divvy
359,41.79172821,-87.583945009,Divvy
360,41.838464,-87.635406,Divvy
361,41.873599675,-87.704870749,Divvy
