,STOP_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Latitude,Longitude
197,30203,Linden (Linden-bound),Linden,41050,True,False,False,False,False,True,True,False,False,False,"(42.073153, -87.69073)",42.073153,-87.69073
198,30204,Linden (Howard-Loop-bound),Linden,41050,True,False,False,False,False,True,True,False,False,False,"(42.073153, -87.69073)",42.073153,-87.69073
199,30197,Logan Square (O'Hare-bound),Logan Square,41020,True,False,True,False,False,False,False,False,False,False,"(41.929728, -87.708541)",41.929728,-87.708541
200,30198,Logan Square (Forest Pk-bound),Logan Square,41020,True,False,True,False,False,False,False,False,False,False,"(41.929728, -87.708541)",41.929728,-87.708541
201,30251,Loyola (Howard-bound),Loyola,41300,True,True,False,False,False,False,False,False,False,False,"(42.001073, -87.661061)",42.001073,-87.661061
202,30252,Loyola (95th-bound),Loyola,41300,True,True,False,False,False,False,False,False,False,False,"(42.001073, -87.661061)",42.001073,-87.661061
203,30052,Main (Linden-bound),Main,40270,False,False,False,False,False,True,True,False,False,False,"(42.033456, -87.679538)",42.033456,-87.679538
204,30053,Main (Howard-Loop-bound),Main,40270,False,False,False,False,False,True,True,False,False,False,"(42.033456, -87.679538)",42.033456,-87.679538
205,30091,Merchandise Mart (Loop-bound),Merchandise Mart,40460,True,False,False,False,True,False,True,False,False,False,"(41.888969, -87.633924)",41.888969,-87.633924
206,30090,Merchandise Mart (Kimball-Linden-bound),Merchandise Mart,40460,True,False,False,False,True,False,True,False,False,False,"(41.888969, -87.633924)",41.888969,-87.633924
207,30182,Midway (Arrival),Midway,40930,True,False,False,False,False,False,False,False,False,True,"(41.78661, -87.737875)",41.78661,-87.737875
208,30181,Midway (Loop-bound),Midway,40930,True,False,False,False,False,False,False,False,False,True,"(41.78661, -87.737875)",41.78661,-87.737875
209,30153,Monroe (O'Hare-bound),Monroe,40790,False,False,True,False,False,False,False,False,False,False,"(41.880703, -87.629378)",41.880703,-87.629378
210,30211,Monroe (Howard-bound),Monroe,41090,False,True,False,False,False,False,False,False,False,False,"(41.880745, -87.627696)",41.880745,-87.627696
211,30212,Monroe (95th-bound),Monroe,41090,False,True,False,False,False,False,False,False,False,False,"(41.880745, -87.627696)",41.880745,-87.627696
212,30154,Monroe (Forest Pk-bound),Monroe,40790,False,False,True,False,False,False,False,False,False,False,"(41.880703, -87.629378)",41.880703,-87.629378
213,30260,Montrose (Forest Pk-bound),Montrose,41330,False,False,True,False,False,False,False,False,False,False,"(41.961539, -87.743574)",41.961539,-87.743574
214,30259,Montrose (O'Hare-bound),Montrose,41330,False,False,True,False,False,False,False,False,False,False,"(41.961539, -87.743574)",41.961539,-87.743574
215,30287,Montrose (Kimball-bound),Montrose,41500,True,False,False,False,True,False,False,False,False,False,"(41.961756, -87.675047)",41.961756,-87.675047
216,30288,Montrose (Loop-bound),Montrose,41500,True,False,False,False,True,False,False,False,False,False,"(41.961756, -87.675047)",41.961756,-87.675047
217,30296,Morgan (Harlem-54th/Cermak-bound),Morgan,41510,True,False,False,True,False,False,False,False,True,False,"(41.885586, -87.652193)",41.885586,-87.652193
218,30295,Morgan (Loop-63rd-bound),Morgan,41510,True,False,False,True,False,False,False,False,True,False,"(41.885586, -87.652193)",41.885586,-87.652193
219,30020,Morse (Howard-bound),Morse,40100,False,True,False,False,False,False,False,False,False,False,"(42.008362, -87.665909)",42.008362,-87.665909
220,30021,Morse (95th-bound),Morse,40100,False,True,False,False,False,False,False,False,False,False,"(42.008362, -87.665909)",42.008362,-87.665909
221,30125,North/Clybourn (Howard-bound),North/Clybourn,40650,False,True,False,False,False,False,False,False,False,False,"(41.910655, -87.649177)",41.910655,-87.649177
222,30126,North/Clybourn (95th-bound),North/Clybourn,40650,False,True,False,False,False,False,False,False,False,False,"(41.910655, -87.649177)",41.910655,-87.649177
223,30079,Noyes (Howard-Loop-bound),Noyes,40400,False,False,False,False,False,True,True,False,False,False,"(42.058282, -87.683337)",42.058282,-87.683337
224,30078,Noyes (Linden-bound),Noyes,40400,False,False,False,False,False,True,True,False,False,False,"(42.058282, -87.683337)",42.058282,-87.683337
225,30263,Oak Park (63rd-bound),Oak Park,41350,False,False,False,True,False,False,False,False,False,False,"(41.886988, -87.793783)",41.886988,-87.793783
226,30035,Oak Park (Forest Pk-bound),Oak Park,40180,False,False,True,False,False,False,False,False,False,False,"(41.872108, -87.791602)",41.872108,-87.791602
227,30034,Oak Park (O'Hare-bound),Oak Park,40180,False,False,True,False,False,False,False,False,False,False,"(41.872108, -87.791602)",41.872108,-87.791602
228,30264,Oak Park (Harlem-bound),Oak Park,41350,False,False,False,True,False,False,False,False,False,False,"(41.886988, -87.793783)",41.886988,-87.793783
229,30298,Oakton-Skokie (Howard-bound),Oakton-Skokie,41680,True,False,False,False,False,False,False,True,False,False,"(42.02624348, -87.74722084)",42.02624348,-87.74722084
230,30297,Oakton-Skokie (Dempster-Skokie-bound),Oakton-Skokie,41680,True,False,False,False,False,False,False,True,False,False,"(42.02624348, -87.74722084)",42.02624348,-87.74722084
