,RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical,F12,F13,LOCATION
3128,3282,4014 N Lincoln Ave,47,5,North Center,1,41.954572,-87.679262,1,41.954572,-87.679262,"(41.954572, -87.679262)"
3129,300,4014 W Fullerton Ave,31,22,Logan Square,4,41.924618,-87.727398,0,41.924618,-87.727398,"(41.924618, -87.727398)"
3130,2055,4015 N Ashland Ave,47,6,Lake View,3,41.954537,-87.66888,1,41.954537,-87.66888,"(41.954537, -87.668880)"
3131,5994,4017 W 26th St,22,30,South Lawndale,1,41.844204,-87.725268,1,41.844204,-87.725268,"(41.844204, -87.725268)"
3132,992,4018 N Cicero Ave,45,15,Portage Park,1,41.954006,-87.747459,0,41.954006,-87.747459,"(41.954006, -87.747459)"
3133,1444,4020 W 63rd St,13,65,West Lawn,1,41.77882,-87.723599,1,41.77882,-87.723599,"(41.778820, -87.723599)"
3134,3571,4020 W North Ave,30,23,Humboldt Park,1,41.910051,-87.727316,1,41.910051,-87.727316,"(41.910051, -87.727316)"
3135,6664,4021 N Broadway St,46,3,Uptown,1,41.95546,-87.650996,0,41.95546,-87.650996,"(41.955460, -87.650996)"
3136,5200,4023 S Archer Ave,12,58,Brighton Park,3,41.820561,-87.693422,1,41.820561,-87.693422,"(41.820561, -87.693422)"
3137,171,4024 W Irving Park Rd,39,16,Irving Park,1,41.953779,-87.727992,0,41.953779,-87.727992,"(41.953779, -87.727992)"
3138,5423,4025 W Armitage Ave,30,20,Hermosa,1,41.917023,-87.727486,1,41.917023,-87.727486,"(41.917023, -87.727486)"
3139,4738,4028 W 59th St,13,62,West Elsdon,1,41.786049,-87.723645,1,41.786049,-87.723645,"(41.786049, -87.723645)"
3140,1430,4034 W 56th St,13,62,West Elsdon,1,41.790603,-87.724017,1,41.790603,-87.724017,"(41.790603, -87.724017)"
3141,6240,4035 W 26th St,22,30,South Lawndale,1,41.844078,-87.725974,1,41.844078,-87.725974,"(41.844078, -87.725974)"
3142,6355,4039 W Montrose Ave,39,16,Irving Park,2,41.960818,-87.728705,1,41.960818,-87.728705,"(41.960818, -87.728705)"
3143,6236,4045 W 26th St,22,30,South Lawndale,1,41.844168,-87.726317,1,41.844168,-87.726317,"(41.844168, -87.726317)"
3144,4442,4046 N Leavitt St,47,5,North Center,2,41.955262,-87.683815,1,41.955262,-87.683815,"(41.955262, -87.683815)"
3145,2914,405 S Green St,2,28,Near West Side,1,41.876572,-87.648266,1,41.876572,-87.648266,"(41.876572, -87.648266)"
3146,4540,405 W Armitage Ave,43,7,Lincoln Park,1,41.918133,-87.639007,1,41.918133,-87.639007,"(41.918133, -87.639007)"
3147,2876,4050 W Fullerton Ave,31,20,Hermosa,1,41.924608,-87.728401,1,41.924608,-87.728401,"(41.924608, -87.728401)"
3148,5340,4050 W Lawrence Ave,39,14,Albany Park,1,41.968364,-87.72967,1,41.968364,-87.72967,"(41.968364, -87.729670)"
3149,593,4051 N Lincoln Ave,47,5,North Center,2,41.95545,-87.67947,0,41.95545,-87.67947,"(41.955450, -87.679470)"
3150,4856,4051 N Lincoln Ave,47,5,North Center,2,41.95545,-87.67947,1,41.95545,-87.67947,"(41.955450, -87.679470)"
3151,3479,4052 N Milwaukee Ave,45,15,Portage Park,4,41.954195,-87.748911,1,41.954195,-87.748911,"(41.954195, -87.748911)"
3152,4308,4054 W North Ave,30,23,Humboldt Park,1,41.909996,-87.728154,1,41.909996,-87.728154,"(41.909996, -87.728154)"
3153,4932,4055 W Arthington St,24,26,West Garfield Park,2,41.869875,-87.726619,1,41.869875,-87.726619,"(41.869875, -87.726619)"
3154,2126,4055 W Belmont Ave,31,21,Avondale,1,41.938948,-87.728597,1,41.938948,-87.728597,"(41.938948, -87.728597)"
3155,3655,4055 W Peterson Ave,39,13,North Park,1,41.990005,-87.729844,1,41.990005,-87.729844,"(41.990005, -87.729844)"
3156,3339,4058 W Madison St,28,26,West Garfield Park,1,41.880842,-87.727054,1,41.880842,-87.727054,"(41.880842, -87.727054)"
3157,6238,4062 W 26th St,22,30,South Lawndale,1,41.844287,-87.727078,1,41.844287,-87.727078,"(41.844287, -87.727078)"
3158,3503,4065 N Milwaukee Ave,45,15,Portage Park,2,41.954845,-87.749264,1,41.954845,-87.749264,"(41.954845, -87.749264)"
3159,3566,4065 W North Ave,30,23,Humboldt Park,1,41.909724,-87.728312,1,41.909724,-87.728312,"(41.909724, -87.728312)"
3160,2541,407 S Dearborn St,2,32,Loop,1,41.876715,-87.629064,1,41.876715,-87.629064,"(41.876715, -87.629064)"
3161,6115,407 S Dearborn St,2,32,Loop,2,41.876715,-87.629064,1,41.876715,-87.629064,"(41.876715, -87.629064)"
3162,4613,4082 N Broadway St,46,3,Uptown,1,41.956246,-87.651766,1,41.956246,-87.651766,"(41.956246, -87.651766)"
3163,7095,409 E 111th St,9,49,Roseland,1,41.692622,-87.612957,0,41.692622,-87.612957,"(41.692622, -87.612957)"
3164,4766,409 W 80th St,17,44,Chatham,2,41.748854,-87.634557,1,41.748854,-87.634557,"(41.748854, -87.634557)"
3165,3638,41 E Pearson St,42,8,Near North Side,2,41.897445,-87.626694,1,41.897445,-87.626694,"(41.897445, -87.626694)"
3166,5864,410 E 71st St,6,69,Greater Grand Crossing,2,41.765862,-87.614787,1,41.765862,-87.614787,"(41.765862, -87.614787)"
3167,4558,410 E 75th St,6,69,Greater Grand Crossing,1,41.758546,-87.614641,1,41.758546,-87.614641,"(41.758546, -87.614641)"
3168,6137,410 S Michigan Ave,2,32,Loop,2,41.876765,-87.624555,1,41.876765,-87.624555,"(41.876765, -87.624555)"
3169,3271,4100 N Lincoln Ave,47,5,North Center,1,41.956034,-87.680218,1,41.956034,-87.680218,"(41.956034, -87.680218)"
3170,3317,4100 N Long Ave,38,15,Portage Park,5,41.955172,-87.762235,1,41.955172,-87.762235,"(41.955172, -87.762235)"
3171,5421,4100 N Long Ave,38,15,Portage Park,2,41.955172,-87.762235,1,41.955172,-87.762235,"(41.955172, -87.762235)"
3172,4852,4100 W Lawrence Ave,39,14,Albany Park,1,41.968302,-87.730627,1,41.968302,-87.730627,"(41.968302, -87.730627)"
3173,3229,4101 N Lavergne Ave,45,15,Portage Park,1,41.955273,-87.752143,1,41.955273,-87.752143,"(41.955273, -87.752143)"
3174,1043,4101 N Western Ave,47,5,North Center,1,41.955967,-87.688385,0,41.955967,-87.688385,"(41.955967, -87.688385)"
3175,4748,4101 S Halsted St,11,61,New City,1,41.820147,-87.64568,1,41.820147,-87.64568,"(41.820147, -87.645680)"
3176,1506,4101 W 79th St,13,70,Ashburn,2,41.748446,-87.724403,1,41.748446,-87.724403,"(41.748446, -87.724403)"
3177,1521,4101 W 79th St,13,70,Ashburn,2,41.748446,-87.724403,1,41.748446,-87.724403,"(41.748446, -87.724403)"
3178,504,4101 W Irving Park Rd,39,16,Irving Park,2,41.953449,-87.729635,0,41.953449,-87.729635,"(41.953449, -87.729635)"
3179,3275,4103 N Lincoln Ave,47,5,North Center,1,41.956186,-87.679968,1,41.956186,-87.679968,"(41.956186, -87.679968)"
3180,2350,4104 N Cicero Ave,45,15,Portage Park,2,41.955625,-87.747517,1,41.955625,-87.747517,"(41.955625, -87.747517)"
3181,6102,411 S Sangamon St,2,28,Near West Side,1,41.876516,-87.650554,1,41.876516,-87.650554,"(41.876516, -87.650554)"
3182,6609,4115 N Lincoln Ave,47,5,North Center,1,41.956441,-87.680149,0,41.956441,-87.680149,"(41.956441, -87.680149)"
3183,5010,4117 S Kedzie Ave,14,58,Brighton Park,1,41.818485,-87.704182,1,41.818485,-87.704182,"(41.818485, -87.704182)"
3184,7326,4120 W 63rd St,13,65,West Lawn,1,41.778768,-87.725957,0,41.778768,-87.725957,"(41.778768, -87.725957)"
