,name,MultiGeometry/Point/coordinates,Latitude,Longitude
95,Zoo Stop,"-87.833729,41.824241,0.000000",41.824241,-87.833729
96,Brookfield,"-87.843107,41.822155,0.000000",41.822155,-87.843107
97,Congress Park,"-87.857577,41.818911,0.000000",41.818911,-87.857577
98,LaGrange Rd.,"-87.871112,41.815880,0.000000",41.81588,-87.871112
99,Stone Ave.,"-87.878573,41.814211,0.000000",41.814211,-87.878573
100,Western Springs,"-87.901410,41.809079,0.000000",41.809079,-87.90141
101,Highlands,"-87.918573,41.805196,0.000000",41.805196,-87.918573
102,Hinsdale,"-87.928237,41.802987,0.000000",41.802987,-87.928237
103,West Hinsdale,"-87.945673,41.799035,0.000000",41.799035,-87.945673
104,Clarendon Hills,"-87.954405,41.797065,0.000000",41.797065,-87.954405
105,Westmont,"-87.976784,41.795613,0.000000",41.795613,-87.976784
106,Fairview Ave.,"-87.993970,41.795586,0.000000",41.795586,-87.99397
107,Main St.,"-88.009833,41.795542,0.000000",41.795542,-88.009833
108,Belmont,"-88.038082,41.795488,0.000000",41.795488,-88.038082
109,Lisle,"-88.072564,41.797808,0.000000",41.797808,-88.072564
110,Naperville,"-88.145194,41.779809,0.000000",41.779809,-88.145194
111,Route 59,"-88.208522,41.778130,0.000000",41.77813,-88.208522
112,Aurora,"-88.307677,41.761210,0.000000",41.76121,-88.307677
113,Kedzie,"-87.706579,41.888257,0.000000",41.888257,-87.706579
114,Oak Park,"-87.801455,41.886967,0.000000",41.886967,-87.801455
115,River Forest,"-87.824906,41.886807,0.000000",41.886807,-87.824906
116,Maywood,"-87.838778,41.888333,0.000000",41.888333,-87.838778
117,Melrose Park,"-87.855872,41.890272,0.000000",41.890272,-87.855872
118,Bellwood,"-87.882740,41.891408,0.000000",41.891408,-87.88274
119,Berkeley,"-87.916018,41.896266,0.000000",41.896266,-87.916018
120,Elmhurst,"-87.940936,41.899703,0.000000",41.899703,-87.940936
121,Villa Park,"-87.977828,41.896304,0.000000",41.896304,-87.977828
122,Lombard,"-88.018550,41.886494,0.000000",41.886494,-88.01855
123,Glen Ellyn,"-88.064607,41.876459,0.000000",41.876459,-88.064607
124,College Ave.,"-88.088812,41.869038,0.000000",41.869038,-88.088812
125,Wheaton,"-88.108727,41.864453,0.000000",41.864453,-88.108727
126,Winfield,"-88.157486,41.870015,0.000000",41.870015,-88.157486
127,West Chicago,"-88.198916,41.881069,0.000000",41.881069,-88.198916
128,Geneva,"-88.310208,41.881501,0.000000",41.881501,-88.310208
129,Western Ave.,"-87.688315,41.889105,0.000000",41.889105,-87.688315
130,Hanson Park,"-87.767628,41.916562,0.000000",41.916562,-87.767628
131,Galewood,"-87.784734,41.916398,0.000000",41.916398,-87.784734
132,Mars,"-87.794533,41.919253,0.000000",41.919253,-87.794533
133,Pingree Rd.,"-88.298024,42.234145,0.000000",42.234145,-88.298024
134,Palos Heights,"-87.807177,41.681962,0.000000",41.681962,-87.807177
135,35th St,"-87.629420,41.831483,0.000000",41.831483,-87.62942
136,La Fox,"-88.411799,41.886701,0.000000",41.886701,-88.411799
137,Elburn,"-88.464123,41.890731,0.000000",41.890731,-88.464123
138,Manhattan,"-87.988709,41.418936,0.000000",41.418936,-87.988709
139,Mont Clare,"-87.801155,41.921636,0.000000",41.921636,-87.801155
140,Elmwood Park,"-87.814784,41.924945,0.000000",41.924945,-87.814784
141,River Grove,"-87.836325,41.931004,0.000000",41.931004,-87.836325
142,Franklin Park,"-87.866586,41.936532,0.000000",41.936532,-87.866586
143,Mannheim,"-87.883340,41.941506,0.000000",41.941506,-87.88334
144,Bensenville,"-87.941819,41.957001,0.000000",41.957001,-87.941819
145,Wood Dale,"-87.974872,41.962368,0.000000",41.962368,-87.974872
146,Itasca,"-88.013916,41.971632,0.000000",41.971632,-88.013916
147,Medinah,"-88.050929,41.978316,0.000000",41.978316,-88.050929
148,Roselle,"-88.067067,41.981578,0.000000",41.981578,-88.067067
149,Schaumburg,"-88.118353,41.989235,0.000000",41.989235,-88.118353
150,Hanover Park,"-88.149282,41.988128,0.000000",41.988128,-88.149282
151,Bartlett,"-88.186283,41.992575,0.000000",41.992575,-88.186283
152,National St.,"-88.279968,42.029133,0.000000",42.029133,-88.279968
153,Elgin,"-88.286168,42.036256,0.000000",42.036256,-88.286168
154,Big Timber,"-88.328429,42.058674,0.000000",42.058674,-88.328429
155,Ogilvie,"-87.640769,41.883049,0.000000",41.883049,-87.640769
157,Irving Park,"-87.731164,41.953170,0.000000",41.95317,-87.731164
158,Jefferson Park,"-87.763344,41.971506,0.000000",41.971506,-87.763344
159,Gladstone Park,"-87.777888,41.979752,0.000000",41.979752,-87.777888
160,Norwood Park,"-87.799059,41.991750,0.000000",41.99175,-87.799059
161,Edison Park,"-87.817707,42.002231,0.000000",42.002231,-87.817707
162,Park Ridge,"-87.831749,42.010209,0.000000",42.010209,-87.831749
163,Dee Road,"-87.854890,42.023270,0.000000",42.02327,-87.85489
164,Des Plaines,"-87.886757,42.040793,0.000000",42.040793,-87.886757
165,Cumberland,"-87.912305,42.052190,0.000000",42.05219,-87.912305
